x,y,z,aream2,_CLASE
-86.95598624,20.74046637,-4.1,436.490489,Macroalgae
-86.95566223,20.74076129,-3.9,3579.20928,Macroalgae
-86.95472234,20.74119826,-4,419.0253,Macroalgae
-86.95453896,20.74108353,-3.3,1239.614349,Macroalgae
-86.95615918,20.74118807,-4.1,838.062294,Macroalgae
-86.95551953,20.74128269,-3.9,453.947657,Macroalgae
-86.95592363,20.74162048,-4.4,331.732095,Macroalgae
-86.95485218,20.74155349,-4.3,855.510462,Macroalgae
-86.95291212,20.74172789,-5.3,488.853801,Macroalgae
-86.95365952,20.74124831,-4.2,8973.540427,Macroalgae
-86.95608984,20.74231735,-4.5,2357.044481,Macroalgae
-86.95312027,20.73932466,-6.1,192.050651,Corals
-86.95630504,20.73942397,-3.6,611.089335,Corals
-86.95454793,20.73946785,-3.6,1047.019135,Corals
-86.95572758,20.73946536,-4.1,1379.307989,Corals
-86.95389521,20.73970197,-4.6,314.267005,Corals
-86.95557685,20.73978135,-4.1,139.676504,Corals
-86.95588094,20.73974813,-3.6,611.086643,Corals
-86.95301631,20.73979874,-6.2,122.21385,Corals
-86.95379021,20.73987123,-5.1,157.133283,Corals
-86.95428964,20.74007016,-4,104.756014,Corals
-86.95376302,20.74003741,-4.7,401.562616,Corals
-86.95460125,20.74017968,-3.4,157.134488,Corals
-86.95513102,20.74025291,-2.9,87.29738,Corals
-86.95381698,20.74032123,-4.3,174.592502,Corals
-86.95574408,20.74038292,-4.1,366.651135,Corals
-86.95517054,20.73978372,-3.3,8066.285456,Corals
-86.95428952,20.74046774,-3.4,139.674617,Corals
-86.95384974,20.74050337,-4.2,401.562768,Corals
-86.95628065,20.7405618,-4.2,296.814332,Corals
-86.95592988,20.7406268,-4,157.136461,Corals
-86.95610092,20.74074248,-4.2,296.813763,Corals
-86.95563535,20.7407094,-4,593.624807,Corals
-86.9529063,20.74084681,-5.1,17.200877,Corals
-86.95626811,20.74092005,-4.1,69.83863,Corals
-86.95492056,20.74062969,-2.9,4172.804045,Corals
-86.95438543,20.7409542,-3.3,209.511997,Corals
-86.95347528,20.74090506,-4.7,435.126787,Corals
-86.95585244,20.74098566,-3.9,384.110889,Corals
-86.95556405,20.74104691,-4.3,296.812095,Corals
-86.95544201,20.7410102,-4.2,104.75708,Corals
-86.95603754,20.74106457,-4.1,69.838461,Corals
-86.95366839,20.74106395,-4.3,235.434222,Corals
-86.9554249,20.74112565,-3.9,314.27109,Corals
-86.95659942,20.74121381,-4.2,209.516508,Corals
-86.95495422,20.74115899,-4,942.809131,Corals
-86.9559027,20.74127614,-3.6,541.247296,Corals
-86.956305,20.74131047,-3.3,1187.256581,Corals
-86.95571088,20.74129902,-3.6,401.569735,Corals
-86.95409327,20.74143995,-4.1,174.592724,Corals
-86.95436086,20.74128361,-2.9,1623.716526,Corals
-86.95508809,20.74142621,-4.2,1466.593225,Corals
-86.95583621,20.74169756,-4.4,296.812661,Corals
-86.95623002,20.74181403,-4.4,558.708216,Corals
-86.95356101,20.74194022,-3.7,855.499371,Corals
-86.95657135,20.74199214,-4.8,436.492249,Corals
-86.95646672,20.74218771,-5,122.21766,Corals
-86.95344367,20.74231084,-4,69.83657,Corals
-86.95310389,20.74238347,-4.2,161.607089,Corals
-86.95651798,20.74248361,-4.6,576.169041,Corals
-86.95281565,20.74281494,-4.7,371.462386,Corals
-86.95668681,20.74300275,-4.5,1606.290948,Corals
-86.95362003,20.74303751,-4.2,1134.845278,Corals
-86.95337939,20.74341682,-4.7,611.068738,Corals
-86.95359313,20.74357772,-5.6,87.295705,Corals
-86.95322783,20.74361324,-5.1,122.213543,Corals
-86.95484197,20.73928952,-3.6,104.756676,S&B
-86.95503538,20.73934957,-3.3,226.97322,S&B
