x,y
-86.9589709,20.74150433
-86.96001107,20.74149746
-86.96092329,20.74122312
-86.9610568,20.74106497
-86.96098561,20.74089388
-86.96047277,20.74069618
-86.96024376,20.74038494
-86.95991677,20.74020549
-86.95911811,20.74067618
-86.95846908,20.74066277
-86.95794568,20.74045213
-86.95748587,20.74038703
-86.95669518,20.73995276
-86.95669125,20.73945212
-86.95640347,20.73930241
-86.95628988,20.73902615
-86.95631728,20.73878438
-86.95666354,20.73838363
-86.95676265,20.73809346
-86.95669676,20.73774975
-86.95622353,20.73738784
-86.95634541,20.73661416
-86.95603377,20.73620557
-86.95587093,20.73595522
-86.9556756,20.73549942
-86.95588702,20.73547826
-86.95603053,20.73532714
-86.95584301,20.73487093
-86.95573624,20.73462811
-86.95546498,20.73454306
-86.95535418,20.73432352
-86.9553757,20.73423705
-86.9558084,20.7342044
-86.95616068,20.73419319
-86.9565601,20.73418329
-86.9568488,20.73410349
-86.95704356,20.73401479
-86.95728201,20.73398838
-86.9575765,20.73402398
-86.95771561,20.73383723
-86.95685356,20.73335645
-86.9567435,20.73327325
-86.95750705,20.73191683
-86.95782173,20.73145616
-86.95792227,20.73131322
-86.9581713,20.73103359
-86.95834677,20.73082385
-86.95870613,20.73041449
-86.95921355,20.72983451
-86.95971339,20.72927215
-86.96011145,20.72883531
-86.96052561,20.72843453
-86.96098852,20.72795172
-86.96134707,20.72760435
-86.96185912,20.72708576
-86.96231832,20.72662069
-86.96290353,20.72597049
-86.96347681,20.72541566
-86.96423332,20.72464813
-86.96484106,20.72412046
-86.96517144,20.72390102
-86.96482451,20.72418945
-86.96424011,20.72471078
-86.96389268,20.72507801
-86.96342525,20.72556792
-86.96309376,20.72587018
-86.96263469,20.72634962
-86.96230546,20.72673146
-86.96197431,20.72704074
-86.96158306,20.72743308
-86.96110275,20.72792816
-86.96067479,20.72835312
-86.96017721,20.72886539
-86.959196,20.72995843
-86.95819427,20.73114239
-86.95769182,20.73172971
-86.9570927,20.73280927
-86.95689991,20.73323513
-86.95771069,20.73369834
-86.9578186,20.73317417
-86.95813845,20.73281982
-86.95877162,20.73275831
-86.95925121,20.73254538
-86.95962141,20.73214379
-86.95965818,20.73169177
-86.95981488,20.7312886
-86.96008398,20.73121246
-86.96027347,20.73108182
-86.96032021,20.73096327
-86.96045114,20.73069965
-86.9605408,20.73046659
-86.960675,20.73035533
-86.96096884,20.73029203
-86.96118772,20.73021262
-86.9614777,20.7301231
-86.96163994,20.73000822
-86.96173369,20.72977517
-86.96178843,20.72954431
-86.96185628,20.72938186
-86.96200542,20.72916021
-86.96213962,20.72904894
-86.96225432,20.72882839
-86.96236827,20.72863894
-86.96247893,20.72846595
-86.96254135,20.72825296
-86.96256476,20.72804217
-86.96264971,20.72783137
-86.96280609,20.727727
-86.96299155,20.72763522
-86.96309927,20.72755188
-86.96320386,20.7274199
-86.96338551,20.72733647
-86.96335541,20.72713886
-86.96339041,20.72700673
-86.96354234,20.72700225
-86.96368253,20.72697553
-86.96378556,20.72681923
-86.96389401,20.72671348
-86.96396111,20.72657344
-86.9643066,20.72643402
-86.96437308,20.72621674
-86.96448655,20.72605376
-86.96474764,20.72608992
-86.96481705,20.72595179
-86.96470769,20.72577286
-86.96478279,20.72552052
-86.96494804,20.72535308
-86.96514914,20.72540735
-86.96537147,20.72549422
-86.96548958,20.72551341
-86.96559336,20.72544199
-86.96561057,20.72528004
-86.96567748,20.72503183
-86.96577393,20.72487933
-86.9657759,20.72473251
-86.9659376,20.72460952
-86.96574279,20.72438659
-86.96550521,20.72421765
-86.96520494,20.72393371
-86.96482451,20.72418945
-86.97301886,20.71744722
-86.97334636,20.71724985
-86.97374564,20.71694088
-86.97436219,20.71644627
-86.9745491,20.71630366
-86.97496919,20.71597839
-86.9752597,20.71573497
-86.97564033,20.71540538
-86.97614605,20.714973
-86.97641582,20.71468622
-86.97664584,20.7144817
-86.97713349,20.71391128
-86.97745502,20.71368672
-86.97794426,20.71338422
-86.9782025,20.71322872
-86.97837119,20.71310449
-86.97852298,20.7129968
-86.97897686,20.71250316
-86.97908755,20.71232714
-86.9793475,20.71212025
-86.97957331,20.71203602
-86.97990653,20.71176019
-86.98046449,20.71141315
-86.98081298,20.71130561
-86.98107372,20.7111606
-86.98130523,20.71097576
-86.98149713,20.71082773
-86.98172278,20.71065855
-86.98201897,20.7103847
-86.98239716,20.70982248
-86.98308334,20.70920771
-86.98315589,20.70914325
-86.98381112,20.70870933
-86.98421026,20.70852094
-86.98462074,20.70816715
-86.98522674,20.70768008
-86.98591957,20.7071347
-86.98601865,20.70701021
-86.98630393,20.70679463
-86.98700803,20.70656603
-86.98718779,20.70662703
-86.98725076,20.70663092
-86.98732064,20.70659426
-86.98740461,20.7065545
-86.98746956,20.70647319
-86.98745911,20.70635747
-86.98738386,20.70619234
-86.98725384,20.7058639
-86.98719223,20.7055576
-86.98653236,20.70535043
-86.98507325,20.70443658
-86.98458243,20.70435035
-86.984419,20.70423215
-86.9839536,20.7043053
-86.98379614,20.7045714
-86.98361659,20.70460463
-86.98355609,20.70478391
-86.9833779,20.70482647
-86.98322656,20.70493875
-86.98318732,20.70515001
-86.98302098,20.70520981
-86.98303793,20.70533144
-86.98280548,20.70535172
-86.98266848,20.7056629
-86.98232869,20.70589115
-86.98196679,20.70638231
-86.98100909,20.7070112
-86.98079757,20.70725025
-86.98072788,20.70740541
-86.98038933,20.70769023
-86.9800964,20.70784149
-86.97982425,20.70804322
-86.97957492,20.7083336
-86.9790128,20.70883919
-86.97862097,20.70891122
-86.97688233,20.70967292
-86.97602112,20.71048126
-86.97567105,20.71106759
-86.97407529,20.71282749
-86.97311544,20.71373676
-86.97207887,20.71448551
-86.9715061,20.71499211
-86.97117702,20.71507176
-86.97083054,20.71523504
-86.97057546,20.71546578
-86.97036536,20.71581698
-86.97001624,20.71624701
-86.96932059,20.71697127
-86.96839918,20.71783481
-86.9682701,20.71806042
-86.96800869,20.71818142
-86.96786806,20.71839618
-86.96759927,20.71845761
-86.96723352,20.71871279
-86.96698966,20.71893876
-86.966714,20.71935337
-86.9662622,20.71953037
-86.96530654,20.72030137
-86.96513103,20.72076368
-86.9645847,20.72105546
-86.96423077,20.72135318
-86.96390802,20.72147122
-86.96350399,20.72179318
-86.96322491,20.72208218
-86.96527218,20.72379904
-86.96558522,20.72347247
-86.96603387,20.72329515
-86.966679,20.7229256
-86.96726737,20.72243211
-86.96809456,20.72170656
-86.96864096,20.7211707
-86.96943436,20.72041846
-86.9698431,20.72007557
-86.97045708,20.71953264
-86.97085057,20.7191853
-86.97147302,20.71885149
-86.97197863,20.71847742
-86.97218944,20.71826743
-86.9722576,20.71814326
-86.9725334,20.71789015
-86.9727506,20.71773695
-86.97301886,20.71744722
-86.96559929,20.72349119
-86.96528221,20.72381669
-86.96576136,20.72421319
-86.96592402,20.72424207
-86.96622792,20.72412709
-86.96650167,20.72401602
-86.96665768,20.72401675
-86.9667807,20.72398982
-86.96690438,20.7238841
-86.96692032,20.72374758
-86.96689489,20.72356261
-86.96705483,20.72348177
-86.96721752,20.72353825
-86.96750423,20.72361162
-86.96771631,20.72361471
-86.96790476,20.72365476
-86.96810325,20.72368063
-86.96827648,20.72358284
-86.96809684,20.72329505
-86.96799341,20.72310972
-86.96805822,20.7230599
-86.9681896,20.72305376
-86.96844695,20.72302373
-86.96862446,20.72296698
-86.96873938,20.72291344
-86.96865975,20.72275247
-86.96852332,20.72253947
-86.96846775,20.72239702
-86.96863594,20.7224041
-86.96884178,20.72240693
-86.96904336,20.72236872
-86.96926502,20.72230216
-86.96949561,20.72224473
-86.96964651,20.72222189
-86.96965975,20.7220765
-86.96958589,20.7218603
-86.96947668,20.72173019
-86.96954031,20.72157524
-86.9697315,20.72142858
-86.96981612,20.72135625
-86.96992923,20.72126518
-86.97016521,20.72122548
-86.97027475,20.7211542
-86.97034731,20.72100838
-86.9704747,20.72095536
-86.97067683,20.72090548
-86.97085399,20.72072612
-86.97099546,20.72051023
-86.97110364,20.7202725
-86.97120044,20.72020652
-86.97147806,20.72020944
-86.97170427,20.7201781
-86.97186189,20.72001543
-86.97187793,20.71981177
-86.97176715,20.71964949
-86.97172831,20.7195486
-86.97193577,20.71938803
-86.97219474,20.7191946
-86.97237115,20.71896559
-86.97255982,20.71887136
-86.97272069,20.71870592
-86.97301154,20.71856345
-86.97321821,20.71854879
-86.97335777,20.71850212
-86.97333391,20.71834933
-86.97345392,20.71819107
-86.97367387,20.71809334
-86.97364578,20.71774671
-86.97374208,20.71764001
-86.9738968,20.71743709
-86.97407576,20.71737964
-86.97447492,20.71723145
-86.97444527,20.71707289
-86.97478255,20.71705673
-86.97500407,20.71716448
-86.97525604,20.71710646
-86.97531752,20.71700419
-86.97533861,20.716881
-86.97535803,20.7166258
-86.97544658,20.71649376
-86.97556941,20.71640238
-86.97571044,20.7162783
-86.97589109,20.71614446
-86.97602127,20.71618152
-86.97612206,20.7162839
-86.97630974,20.71628279
-86.97644477,20.7162428
-86.97656896,20.71615541
-86.97650843,20.71601228
-86.97633288,20.7158305
-86.97622406,20.71566494
-86.97667167,20.71554508
-86.9770501,20.715525
-86.97726939,20.71552858
-86.97749915,20.71558061
-86.97776677,20.71550764
-86.97782022,20.71526505
-86.97767429,20.71501815
-86.97743416,20.71483677
-86.97716592,20.71457871
-86.97709037,20.71435249
-86.97742149,20.71423011
-86.97808281,20.71410572
-86.97839999,20.71394872
-86.97864702,20.71390644
-86.97915878,20.71351565
-86.97952036,20.71334245
-86.97990148,20.71320048
-86.98011613,20.71330256
-86.98069364,20.71327801
-86.98074513,20.71316305
-86.98051562,20.71292126
-86.98079846,20.71267477
-86.9810105,20.71252315
-86.98101354,20.71236999
-86.9808853,20.71215743
-86.98168464,20.71157354
-86.98187153,20.71160366
-86.98206329,20.71174934
-86.98233441,20.71185537
-86.98264957,20.71181764
-86.98261214,20.71141139
-86.98256374,20.71118262
-86.98273514,20.71088754
-86.9829367,20.71076167
-86.98314329,20.71066836
-86.98315315,20.7105959
-86.98326225,20.71046425
-86.98346532,20.7104343
-86.98346173,20.71034158
-86.98350612,20.71028091
-86.98354915,20.71026539
-86.98366451,20.71026808
-86.98373,20.7101445
-86.98387383,20.7101079
-86.98398469,20.71016109
-86.98417974,20.71012794
-86.98424145,20.71005885
-86.98425631,20.70978194
-86.98435398,20.70965969
-86.98449455,20.70963398
-86.9845817,20.70951321
-86.9846779,20.70936254
-86.98479552,20.70924523
-86.98500682,20.70924753
-86.98509527,20.70929933
-86.98533732,20.70922673
-86.98546,20.70924447
-86.98552421,20.70930684
-86.98561678,20.70920236
-86.98552843,20.70907565
-86.98548801,20.70893413
-86.98558274,20.70883634
-86.98564107,20.70870223
-86.98576745,20.70871344
-86.98586328,20.70851608
-86.98598365,20.70845653
-86.98613743,20.70832249
-86.98620938,20.70819933
-86.98622162,20.70805404
-86.98634264,20.70797086
-86.98641672,20.70795855
-86.98661003,20.70791815
-86.98670097,20.70777839
-86.98678202,20.70777582
-86.98680833,20.7076247
-86.9869236,20.70759188
-86.98698159,20.70749618
-86.98710994,20.70742193
-86.98717285,20.70729201
-86.98719349,20.70719211
-86.98725648,20.70712978
-86.98721369,20.70707124
-86.9870811,20.70711374
-86.98707658,20.70704549
-86.98692588,20.70708366
-86.98686002,20.70698566
-86.98699084,20.70694959
-86.98709331,20.7068814
-86.98727134,20.70678275
-86.98722938,20.70666432
-86.98718191,20.70663609
-86.987113,20.70661331
-86.98701993,20.70657831
-86.98630788,20.70680317
-86.98603097,20.70701719
-86.98592598,20.70714065
-86.98465258,20.7081528
-86.98421673,20.70852632
-86.98380883,20.70872151
-86.98315606,20.70915183
-86.98240296,20.70982494
-86.98201965,20.71039039
-86.98173386,20.71065742
-86.9812892,20.71099429
-86.98107332,20.71116771
-86.98081528,20.71130972
-86.9804636,20.71142024
-86.9799028,20.71176902
-86.97957502,20.7120405
-86.97934533,20.71213
-86.97909333,20.71232872
-86.97898329,20.71250857
-86.9785291,20.71299997
-86.97819536,20.7132429
-86.97749385,20.7136707
-86.97713748,20.7139245
-86.97665235,20.71448746
-86.97642058,20.7146947
-86.97615533,20.71497719
-86.97491513,20.71604061
-86.97409932,20.71667421
-86.97334991,20.71726199
-86.97302022,20.71745728
-86.97275955,20.71773896
-86.97252899,20.71790471
-86.97226735,20.71815098
-86.97220018,20.71827452
-86.97198397,20.71848543
-86.97147522,20.71886463
-86.97085154,20.71920111
-86.97026533,20.71971437
-86.9698834,20.72005649
-86.96943135,20.72043244
-86.96855041,20.72127066
-86.96813757,20.72168269
-86.96730526,20.72242889
-86.96668705,20.72294335
-86.96605049,20.72330647
-86.96559929,20.72349119
